TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0051015"	"actin filament binding"	22	5.34445711824617	0.48245521843075323	0.9777961388754709	0.64738069	null
"GO:0003779"	"actin binding"	3	5.532345363784474	0.7436112368550806	0.9818065204149654	0.80549563	51015
"GO:0003785"	"actin monomer binding"	1	4.08188713942355	0.02635439351466265	0.9857490842537533	0.7167355	51015
"GO:0008017"	"microtubule binding"	2	5.397748877047959	0.5454425245142898	0.9822749785235422	0.81526963	51015
"GO:0051060"	"pullulanase activity"	7	3.2830749747354715	0.004186493851343628	0.9039892004672246	0.54092634	null
"GO:0051073"	"adenosylcobinamide-GDP ribazoletransferase activity"	13	3.74350976472843	0.012090192618661288	0.8842750391815034	0.68538672	null
"GO:0051075"	"S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity"	12	3.912912551176097	0.01785917241485587	0.8153705961557827	0.55105211	null
"GO:0051082"	"unfolded protein binding"	86	5.426034414345588	0.582149650217129	0.9834572272741806	0.47669119	null
"GO:0051087"	"protein-folding chaperone binding"	31	5.096899589815412	0.27283367332771014	0.9844638236392552	0.44178732	null
"GO:0051116"	"cobaltochelatase activity"	5	3.725421550074259	0.011596893551714648	0.92764373670837	0.45068986	null
"GO:0051117"	"ATPase binding"	22	4.553470372213122	0.07806566871392327	0.9845531635077254	0.39413783	null
"GO:0051213"	"dioxygenase activity"	441	5.515912240002036	0.7159995855414742	0.859332996721722	0.42246764	null
"GO:0051266"	"sirohydrochlorin ferrochelatase activity"	5	3.540579716504454	0.007576287882176086	0.9101160618364755	0.39985463	null
"GO:0051287"	"NAD binding"	398	5.58804973965771	0.8453770881747855	0.9816778334863187	0.31507052	null
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	744	5.367881229997107	0.5091915913114144	0.9861122388758499	0.13708891	null
"GO:0051536"	"iron-sulfur cluster binding"	389	5.948164446942327	1.937161425767887	0.9843292416595244	0.91128593	51537
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	643	5.688004017435276	1.0641552243656212	0.9851796061447562	0.78743977	51537
"GO:0051538"	"3 iron, 4 sulfur cluster binding"	193	4.533377990569801	0.07453617937209708	0.9880756667116409	0.61971252	null
"GO:0051745"	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase activity"	22	3.9698816437465	0.020362774316571793	0.8827385807253022	0.30518617	null
"GO:0004748"	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	21	4.5328435212032385	0.07444450432425744	0.8738423394050433	0.81856675	51745
"GO:0008998"	"ribonucleoside-triphosphate reductase (thioredoxin) activity"	4	3.6824158616773586	0.01050334119534178	0.8871049130172809	0.87274766	51745
"GO:0016726"	"oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor"	3	4.160198326116569	0.03156240932764799	0.8801049204136477	0.84206961	51745
