gene	product	strains_missing	missing_percentage
Strep_C9249	M4 family metallopeptidase	1	11.11111111111111
Strep_C14826	nuclease-related domain-containing protein	1	11.11111111111111
Strep_C3618	two-component system sensor histidine kinase AfsQ2	1	11.11111111111111
Strep_C13595	shikimate dehydrogenase	1	11.11111111111111
Strep_C28020	DUF397 domain-containing protein	1	11.11111111111111
Strep_C3341	beta-N-acetylhexosaminidase	1	11.11111111111111
Strep_C8899	LacI family DNA-binding transcriptional regulator	1	11.11111111111111
Strep_C8027	ATP-grasp domain-containing protein	1	11.11111111111111
Strep_C878	penicillin acylase family protein	1	11.11111111111111
Strep_C1967	bifunctional glycosyltransferase 87/phosphatase PAP2 family protein	1	11.11111111111111
Strep_C811	glycoside hydrolase family 3 C-terminal domain-containing protein	1	11.11111111111111
Strep_C9065	rhamnose ABC transporter substrate-binding protein	1	11.11111111111111
Strep_C17056	O-methyltransferase	1	11.11111111111111
Strep_C5938	MFS transporter	1	11.11111111111111
Strep_C8335	NADH:flavin oxidoreductase	1	11.11111111111111
Strep_C25024	hypothetical protein	1	11.11111111111111
Strep_C21123	TerD family protein	1	11.11111111111111
Strep_C11692	M56 family metallopeptidase	1	11.11111111111111
Strep_C21048	preprotein translocase subunit YajC	1	11.11111111111111
Strep_C3693	acyl-CoA mutase large subunit family protein	1	11.11111111111111
Strep_C11087	ABC transporter substrate-binding protein	1	11.11111111111111
Strep_C23622	gas vesicle structural protein GvpA	1	11.11111111111111
Strep_C16548	class I SAM-dependent methyltransferase	1	11.11111111111111
Strep_C26604	hypothetical protein	1	11.11111111111111
Strep_C11118	lysylphosphatidylglycerol synthase transmembrane domain-containing protein	1	11.11111111111111
Strep_C2905	cellulose 1,4-beta-cellobiosidase	1	11.11111111111111
Strep_C16547	phosphatase PAP2 family protein	1	11.11111111111111
Strep_C18196	DUF4360 domain-containing protein	1	11.11111111111111
Strep_C19442	TetR/AcrR family transcriptional regulator	1	11.11111111111111
Strep_C5691	cytochrome P450	1	11.11111111111111
Strep_C23205	nitroreductase family deazaflavin-dependent oxidoreductase	1	11.11111111111111
Strep_C26316	hypothetical protein	1	11.11111111111111
Strep_C21299	DUF4245 domain-containing protein	1	11.11111111111111
Strep_C3144	type 2 periplasmic-binding domain-containing protein	1	11.11111111111111
Strep_C20405	hemerythrin domain-containing protein	1	11.11111111111111
Strep_C18536	nucleoside/nucleotide kinase family protein	1	11.11111111111111
Strep_C4144	amino acid permease	1	11.11111111111111
Strep_C2367	rhamnogalacturonan lyase	1	11.11111111111111
Strep_C14770	SURF1 family cytochrome oxidase biogenesis protein	1	11.11111111111111
Strep_C4992	metallopeptidase TldD-related protein	1	11.11111111111111
Strep_C2638	ABC transporter ATP-binding protein	1	11.11111111111111
Strep_C6538	sensor histidine kinase	1	11.11111111111111
Strep_C11026	hypothetical protein	1	11.11111111111111
