strain_id	organism	unique_genes	total_genes	unique_gene_percent
acidiscabies	acidiscabies	4203	9271	45.3349153273649
albidoflavus	albidoflavus	2845	5748	49.495476687543494
bobili	bobili	2706	8484	31.8953323903819
europaescabiei	europaescabiei	2181	9147	23.84388324040669
scabiei	scabiei	1598	8333	19.176767070682825
AMCC400023	AMCC400023	1325	8844	14.981908638625058
caniscabiei	caniscabiei	1089	8478	12.845010615711253
coelicolor	coelicolor	849	7741	10.967575248675882
lividans	lividans	552	7212	7.653910149750416
