TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0047091"	"L-lysine 6-monooxygenase (NADPH) activity"	1	3.248463717551032	0.0038656311839048822	0.8975552002335185	0.51139154	null
"GO:0018580"	"nitronate monooxygenase activity"	1	4.316892503761295	0.045276559936611505	0.8843776155932512	0.84052063	47091
"GO:0047134"	"protein-disulfide reductase (NAD(P)H) activity"	2	4.714346527548247	0.11306807507479211	0.8539887208154653	0.36070405	null
"GO:0004148"	"dihydrolipoyl dehydrogenase activity"	1	4.355604750958804	0.04949797761570356	0.8824959518100706	0.86129315	47134
"GO:0015035"	"protein-disulfide reductase activity"	1	5.076243463475504	0.2601606893334969	0.8457201937477664	0.88802704	47134
"GO:0047429"	"nucleoside triphosphate diphosphatase activity"	2	4.812846536967071	0.14185404009643954	0.9067894501444786	0.54888919	null
"GO:0047475"	"phenylacetate-CoA ligase activity"	1	3.622628426129325	0.009152225609324207	0.9005063366725932	0.43849947	null
"GO:0047631"	"ADP-ribose diphosphatase activity"	1	3.975615597966895	0.020633433981622165	0.918203640938053	0.45842282	null
"GO:0048029"	"monosaccharide binding"	2	4.958372732478607	0.19832150408719013	0.978239068003963	0.12682195	null
"GO:0048038"	"quinone binding"	8	5.092766246718483	0.270249310074326	0.9776340881027947	0.13075922	null
"GO:0050126"	"N-carbamoylputrescine amidase activity"	1	3.7839750034126713	0.013271054544405244	0.9029130322875621	0.60139273	null
"GO:0050131"	"N-methyl-L-amino-acid oxidase activity"	1	2.3541084391474008	0.000491116327712365	0.9080410272324562	0.24026074	null
"GO:0008115"	"sarcosine oxidase activity"	1	4.2309085193207645	0.03714367354969474	0.8836162214837212	0.7579606	50131
"GO:0050242"	"pyruvate, phosphate dikinase activity"	1	3.778585327862962	0.013107349101834455	0.8784097400739521	0.26360383	null
"GO:0050311"	"sulfite reductase (ferredoxin) activity"	1	3.9197577805018944	0.018142928515311903	0.8899687604771255	0.66458903	null
"GO:0050380"	"undecaprenyl-diphosphatase activity"	1	4.061716293159897	0.02515825241427876	0.9171616281785945	0.46632735	null
"GO:0050518"	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity"	1	3.9611837098124356	0.01995896755823052	0.8683024925780526	0.55140589	null
"GO:0050567"	"glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity"	2	4.498062314581983	0.06871481383427984	0.8303830629998108	0.69259819	null
"GO:0003921"	"GMP synthase activity"	1	4.114610984232173	0.028417082091054584	0.8577661967181934	0.74258674	50567
"GO:0004066"	"asparagine synthase (glutamine-hydrolyzing) activity"	1	4.329153710792822	0.04657310704177215	0.8811074952746318	0.76711804	50567
"GO:0004088"	"carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity"	2	4.411485020124997	0.056295027591242705	0.8796875716642409	0.77696767	50567
"GO:0004642"	"phosphoribosylformylglycinamidine synthase activity"	1	4.333769600873475	0.047070771587187345	0.8810287636382839	0.76766365	50567
"GO:0050566"	"asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity"	2	4.0732049564885955	0.025832718837670403	0.8403485738171005	0.7380317	50567
"GO:0050587"	"chlorite O2-lyase activity"	1	2.1367205671564067	0.0002968525358616962	0.9129106371203058	0.23305758	null
"GO:0050660"	"flavin adenine dinucleotide binding"	7	5.877320656022554	1.6455911188531416	0.9554766119864863	0.34149957	null
"GO:0050661"	"NADP binding"	8	5.492309102811401	0.6781246943482966	0.959627302908415	0.34680794	null
"GO:0050897"	"cobalt ion binding"	4	4.661301450066921	0.10006768019543723	0.9693370475951044	0.51267875	null
"GO:0051082"	"unfolded protein binding"	4	5.426034414345588	0.582149650217129	0.9767806008802244	0.47669119	null
"GO:0051087"	"protein-folding chaperone binding"	1	5.096899589815412	0.27283367332771014	0.9782455835872557	0.44178732	null
"GO:0051116"	"cobaltochelatase activity"	1	3.725421550074259	0.011596893551714648	0.9029291936749195	0.44543296	null
"GO:0051117"	"ATPase binding"	1	4.553470372213122	0.07806566871392327	0.9785975945056284	0.61034111	null
"GO:0051213"	"dioxygenase activity"	4	5.515912240002036	0.7159995855414742	0.8681964161100305	0.4346417	null
"GO:0051266"	"sirohydrochlorin ferrochelatase activity"	1	3.540579716504454	0.007576287882176086	0.9126911934987906	0.38871672	null
"GO:0051287"	"NAD binding"	9	5.58804973965771	0.8453770881747855	0.9587419025748048	0.35550638	null
"GO:0051538"	"3 iron, 4 sulfur cluster binding"	2	4.533377990569801	0.07453617937209708	0.9730411227978423	0.65860669	null
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	26	5.688004017435276	1.0641552243656212	0.9662307433131659	0.15160534	null
"GO:0051536"	"iron-sulfur cluster binding"	2	5.948164446942327	1.937161425767887	0.9642249210611351	0.91128593	51539
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	5	5.367881229997107	0.5091915913114144	0.9684296509160633	0.78743977	51539
"GO:0051991"	"UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity"	1	3.8925398046586355	0.01704064520200193	0.8801845734031605	0.67356176	null
"GO:0050511"	"undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity"	1	3.9757533890362873	0.020639982199324995	0.8788208982468207	0.76035105	51991
"GO:0051996"	"squalene synthase [NAD(P)H] activity"	1	4.026165408839252	0.023180690668023633	0.8701163414929847	0.67279078	null
"GO:0004311"	"farnesyltranstransferase activity"	1	3.9635989625972416	0.020070287259178653	0.8712232825427435	0.70897005	51996
"GO:0051997"	"2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity"	1	3.6317480743965693	0.009346489401174878	0.9024884350928009	0.53193978	null
"GO:0052381"	"tRNA dimethylallyltransferase activity"	1	4.14863349848935	0.030732968418622667	0.8059904213647298	0.57072312	null
