WP_037689226.1	Streptomyces
WP_037689234.1	Streptomyces
WP_037689267.1	Streptomyces
WP_037689295.1	Streptomyces
WP_037689314.1	Streptomyces
WP_037689327.1	Streptomyces
WP_037689336.1	Streptomyces
WP_037689353.1	Streptomyces
WP_037689427.1	Streptomyces
WP_037689432.1	Streptomyces
WP_037689434.1	Streptomyces
WP_037689442.1	Streptomyces
WP_037689449.1	Streptomyces
WP_037689484.1	Streptomyces
WP_037689525.1	Streptomyces
WP_037689543.1	Streptomyces
WP_037689600.1	Streptomyces
WP_037689613.1	Streptomyces
WP_037689617.1	Streptomyces
WP_037689624.1	Streptomyces
WP_037689628.1	Streptomyces
WP_037689654.1	Streptomyces
WP_037689661.1	Streptomyces
WP_037689663.1	Streptomyces
WP_037689668.1	Streptomyces
WP_037689673.1	Streptomyces
WP_037689675.1	Streptomyces
WP_037689677.1	Streptomyces
WP_037689714.1	Streptomyces
WP_037689715.1	Streptomyces
WP_037689717.1	Streptomyces
WP_037689719.1	Streptomyces
WP_037689729.1	Streptomyces
WP_037689770.1	Streptomyces
WP_037689775.1	Streptomyces
WP_037689783.1	Streptomyces
WP_037689797.1	Streptomyces
WP_037689809.1	Streptomyces
WP_037689811.1	Streptomyces
WP_037689968.1	Streptomyces
WP_037689994.1	Streptomyces
WP_037690012.1	Streptomyces
WP_037690053.1	Streptomyces
WP_037690129.1	Streptomyces
WP_037690328.1	Streptomyces
WP_037690376.1	Streptomyces
WP_037690386.1	Streptomyces
WP_037690444.1	Streptomyces
WP_037690631.1	Streptomyces
WP_037690666.1	Streptomyces
WP_037690685.1	Streptomyces
WP_037690721.1	Streptomyces
WP_037690742.1	Streptomyces
WP_037690750.1	Streptomyces
WP_037690770.1	Streptomyces
WP_037690793.1	Streptomyces
WP_037690807.1	Streptomyces
WP_037690846.1	Streptomyces
WP_037690914.1	Streptomyces
WP_037690953.1	Streptomyces
WP_037690961.1	Streptomyces
WP_037690966.1	Streptomyces
WP_037690981.1	Streptomyces
WP_037691025.1	Streptomyces
WP_037691219.1	Streptomyces
WP_037691221.1	Streptomyces
WP_037691228.1	Streptomyces
WP_037691240.1	Streptomyces
WP_037691250.1	Streptomyces
WP_037691317.1	Streptomyces
WP_037691326.1	Streptomyces
WP_037691365.1	Streptomyces
WP_037691381.1	Streptomyces
WP_037691410.1	Streptomyces
WP_037691440.1	Streptomyces
WP_037691457.1	Streptomyces europaeiscabiei
WP_037691460.1	Streptomyces
WP_037691485.1	Streptomyces
WP_037691486.1	Streptomyces
WP_037691490.1	Streptomyces
WP_037691495.1	Streptomyces
WP_037691500.1	Streptomyces
WP_037691512.1	Streptomyces
WP_037691516.1	Streptomyces
WP_037691556.1	Streptomyces
WP_037691558.1	Streptomyces
WP_037691600.1	Streptomyces
WP_037691649.1	Streptomyces
WP_037691660.1	Streptomyces
WP_037691762.1	Streptomyces
WP_037691940.1	Streptomyces
WP_037691956.1	Streptomyces
WP_037691983.1	Streptomyces
WP_037692004.1	Streptomyces
WP_037692006.1	Streptomyces
WP_037692087.1	Streptomyces
WP_037692160.1	Streptomyces
WP_037692170.1	Streptomyces
WP_037692233.1	Streptomyces
WP_037692245.1	Streptomyces
WP_037692250.1	Streptomyces
WP_037692256.1	Streptomyces
WP_037692260.1	Streptomyces
WP_037692279.1	Streptomyces
WP_037692305.1	Streptomyces
WP_037692354.1	Streptomyces
WP_037692411.1	Streptomyces
WP_037692413.1	Streptomyces
WP_037692499.1	Streptomyces
WP_037692503.1	protein
WP_037692505.1	Streptomyces
WP_037692589.1	Streptomyces
WP_037692622.1	Streptomyces
WP_037692688.1	Streptomyces
WP_037692693.1	Streptomyces
WP_037692710.1	Streptomyces
WP_037692748.1	Streptomyces
WP_037692849.1	Streptomyces
WP_037692931.1	Streptomyces
WP_037692942.1	Streptomyces
WP_037692967.1	Streptomyces
WP_037692975.1	Streptomyces
WP_037693025.1	Streptomyces
WP_037693027.1	Streptomyces
WP_037693049.1	Streptomyces
WP_037693104.1	Streptomyces
WP_037693152.1	Streptomyces
WP_037693164.1	Streptomyces
WP_037693171.1	protein
WP_037693212.1	Streptomyces
WP_037693230.1	Streptomyces
WP_037693245.1	Streptomyces
WP_037693246.1	Streptomyces
WP_037693256.1	Streptomyces
WP_037693300.1	Streptomyces
WP_037693313.1	Streptomyces
WP_037693315.1	Streptomyces
WP_037693317.1	Streptomyces
WP_037693319.1	Streptomyces
WP_037693353.1	Streptomyces
WP_037693363.1	Streptomyces
WP_037693365.1	Streptomyces
WP_037693371.1	Streptomyces
WP_037693379.1	Streptomyces
WP_037693389.1	Streptomyces
WP_037693393.1	Streptomyces
WP_037693402.1	Streptomyces
WP_037693429.1	Streptomyces
WP_037693435.1	Streptomyces
WP_037693449.1	Streptomyces
WP_037693451.1	Streptomyces
WP_037693456.1	Streptomyces
WP_037693473.1	Streptomyces
WP_037693477.1	Streptomyces
WP_037693479.1	Streptomyces
WP_037693480.1	Streptomyces
WP_037693486.1	Streptomyces
WP_037693492.1	Streptomyces
WP_037693494.1	Streptomyces
WP_037693496.1	Streptomyces
WP_037693507.1	Streptomyces
WP_037693510.1	Streptomyces
WP_037693522.1	Streptomyces
WP_037693552.1	Streptomyces
WP_037693574.1	Streptomyces
WP_037693678.1	Streptomyces
WP_037693706.1	Streptomyces
WP_037693716.1	Streptomyces
WP_037693732.1	Streptomyces
WP_037693804.1	Streptomyces
WP_037693817.1	Streptomyces
WP_037693825.1	Streptomyces
WP_037693839.1	Streptomyces
WP_037693850.1	Streptomyces
WP_037693856.1	Streptomyces
WP_037693917.1	Streptomyces
WP_037693979.1	Streptomyces
WP_037694028.1	Streptomyces
WP_037694038.1	Streptomyces
WP_037694056.1	Streptomyces
WP_037694088.1	Streptomyces
WP_037694109.1	Streptomyces
WP_037694116.1	Streptomyces
WP_037694118.1	Streptomyces
WP_037694120.1	Streptomyces
WP_037694127.1	Streptomyces
WP_037694132.1	Streptomyces
WP_037694138.1	Streptomyces
WP_037694153.1	Streptomyces
WP_037694163.1	Streptomyces
WP_037694172.1	Streptomyces
WP_037694217.1	Streptomyces
WP_037694236.1	Streptomyces
WP_037694281.1	Streptomyces
WP_037694287.1	Streptomyces
WP_037694299.1	Streptomyces
WP_037694310.1	Streptomyces
WP_037694325.1	Streptomyces
WP_037694332.1	Streptomyces
WP_037694339.1	Streptomyces
WP_037694352.1	Streptomyces
WP_037694358.1	Streptomyces
WP_037694386.1	Streptomyces
WP_037694439.1	Streptomyces
WP_037694462.1	Streptomyces
WP_037694467.1	Streptomyces
WP_037694471.1	Streptomyces
WP_037694490.1	Streptomyces
